city,sample,altitude_m,city_type,city_type_3,city_type_6,try_dir,expert_mode,exclude_non_ground_targets,expert_id,expert_region,kind,total_pixels,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100,b101,b102,b103,b104,b105,b106,b107,b108,b109,b110,b111,b112,b113,b114,b115,b116,b117,b118,b119,b120,b121,b122,b123,b124,b125,b126,b127,b128,b129,b130,b131,b132,b133,b134,b135,b136,b137,b138,b139,b140,b141,b142,b143,b144,b145,b146,b147,b148,b149,b150,b151,b152,b153,b154,b155,b156,b157,b158,b159,b160,b161,b162,b163,b164,b165,b166,b167,b168,b169,b170,b171,b172,b173,b174,b175,b176,b177,b178,b179
Chiang Mai,sample_04436,60.050,mixed_midrise,mixed_midrise,mixed_compact_lowrise,TFGSeventyFourthTry74,3_experts,0,ground_truth,full,target_los,142221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,19,75,518,670,1065,1414,1716,2331,2824,3681,5542,6393,8053,10098,11951,12713,11179,10733,9924,8271,6982,6282,5131,4520,4139,3315,1215,563,188,146,122,96,88,116,0,35,26,23,0,8,9,12,0,5,1,6,0,1,0,1,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiang Mai,sample_04436,60.050,mixed_midrise,mixed_midrise,mixed_compact_lowrise,TFGSeventyFourthTry74,3_experts,0,ground_truth,full,target_nlos,14873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,17,58,56,68,31,119,299,315,343,476,515,608,531,485,1377,1492,2415,1801,1952,1274,278,123,0,34,33,43,0,25,16,24,0,9,9,10,0,5,2,2,3,3,3,1,1,0,0,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiang Mai,sample_04436,60.050,mixed_midrise,mixed_midrise,mixed_compact_lowrise,TFGSeventyFourthTry74,3_experts,0,band4555_allcity_los,los_only,pred_los,142221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,4,6,2,4,3,5,2,12,17,8,14,20,200,976,1329,1683,1774,2537,3546,4068,4729,5565,9555,13946,14623,16128,21465,21594,11466,5000,1927,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiang Mai,sample_04437,247.605,mixed_midrise,mixed_midrise,mixed_compact_lowrise,TFGSeventyFourthTry74,3_experts,0,ground_truth,full,target_los,185809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,85,196,4575,13975,20379,23849,19271,16059,12921,12104,10672,7913,6491,5880,5320,5029,5211,5772,4905,3574,1093,247,0,65,41,47,0,19,22,17,0,6,8,11,0,4,3,6,3,2,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiang Mai,sample_04437,247.605,mixed_midrise,mixed_midrise,mixed_compact_lowrise,TFGSeventyFourthTry74,3_experts,0,ground_truth,full,target_nlos,3146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,9,36,16,122,108,248,444,727,567,632,151,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiang Mai,sample_04437,247.605,mixed_midrise,mixed_midrise,mixed_compact_lowrise,TFGSeventyFourthTry74,3_experts,0,band4555_allcity_los,los_only,pred_los,185809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,2,0,0,1,3,5,4,4,2,8,14,8,9,8,21,189,953,1428,1911,2196,3328,4144,4785,6320,8426,12042,16064,17038,20864,28001,28429,17862,8376,3349,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiang Mai,sample_04438,37.063,mixed_midrise,mixed_midrise,mixed_compact_lowrise,TFGSeventyFourthTry74,3_experts,0,ground_truth,full,target_los,116136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,110,221,334,411,554,667,918,1033,1295,1532,1969,2515,2952,3790,5095,6441,8141,9418,10742,10092,9044,7899,7664,5902,4992,3979,2701,1944,1313,794,621,398,285,127,86,41,55,0,13,9,5,0,2,3,4,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiang Mai,sample_04438,37.063,mixed_midrise,mixed_midrise,mixed_compact_lowrise,TFGSeventyFourthTry74,3_experts,0,ground_truth,full,target_nlos,23388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,11,6,0,4,35,71,101,93,15,122,158,379,397,476,683,878,643,999,1441,2575,3048,3253,3013,1681,1476,1153,0,334,72,95,0,30,26,31,0,12,15,26,0,3,4,4,1,1,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiang Mai,sample_04438,37.063,mixed_midrise,mixed_midrise,mixed_compact_lowrise,TFGSeventyFourthTry74,3_experts,0,band4555_allcity_los,los_only,pred_los,116136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,1,2,1,2,2,1,6,2,4,6,2,7,15,7,15,11,9,42,206,994,1245,1519,1652,2045,3009,3504,4251,4858,7316,11003,11866,13158,16953,16887,10014,4148,1364,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiang Mai,sample_04439,107.746,mixed_midrise,mixed_midrise,mixed_compact_lowrise,TFGSeventyFourthTry74,3_experts,0,ground_truth,full,target_los,163891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,45,136,1335,2443,3334,4672,7680,9730,11601,13932,16136,13571,12748,10839,9328,8326,6900,6201,5329,4761,4679,4033,3160,1769,515,132,94,78,111,0,48,34,54,0,22,25,29,0,7,7,8,0,5,5,5,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
